identifier,en,de,fr,es,cn,note
#,"changelog_window.cpp - ""What's New"" popup shown after every build",,,,,
WE_CHANGELOG_TITLE,World Events - What's New,World Events - Was ist neu,World Events - Nouveautés,World Events - Novedades,世界事件 - 更新内容,
WE_CHANGELOG_LATEST_SUFFIX, (latest), (neueste), (dernière), (última),（最新）,
WE_CHANGELOG_GOT_IT,Got it,Geht klar,Compris,Entendido,知道了,
#,"reset_defaults.cpp - ""Default"" button + confirmation popup in the Events tab.",,,,,
WE_RESET_BUTTON,Default,Standard,Par défaut,Predeterminado,默认,
WE_RESET_POPUP_TITLE,Reset to Defaults,Auf Standard zurücksetzen,Réinitialiser aux valeurs par défaut,Restablecer valores predeterminados,重置为默认值,
WE_RESET_BODY,Deletes and rebuilds events.json from scratch.,Löscht events.json und erstellt sie mit Grundeinstellungen.,Supprime et reconstruit events.json depuis zéro.,Elimina y reconstruye events.json desde cero.,将删除并完全重建events.json文件。,
WE_RESET_WARNING,This cannot be undone.,Dies kann nicht rückgängig gemacht werden.,Cette action est irréversible.,Esta acción no se puede deshacer.,此操作无法撤销。,
WE_RESET_CONFIRM,Reset everything,Alles zurücksetzen,Tout réinitialiser,Restablecer todo,全部重置,
WE_RESET_CANCEL,Cancel,Abbrechen,Annuler,Cancelar,取消,
WE_TIP_RESET_WIPE,"Wipes every Basic Event, Cyclic Group, category, subscription,
and done-today marker, restoring the compiled-in defaults.","Löscht alle normalen Events, zyklische Gruppen, Kategorien, Abos und
Erledigt-Markierungen und stellt die Grundeinstellungen wieder her.","Supprime tous les Événements normaux, Groupes cycliques, catégories, abonnements
et marqueurs ""fait aujourd'hui"", puis restaure les valeurs par défaut intégrées.","Elimina todos los Eventos normales, Grupos cíclicos, categorías, suscripciones
y marcas de ""hecho hoy"", y restaura los valores predeterminados integrados.",将会清除所有基础事件、循环事件组、分类、订阅以及今日已完成标记，恢复内置默认配置。,
WE_RESTORE_BUTTON,Rebuild Missing,Fehlende wiederherstellen,Restaurer les manquants,Restaurar faltantes,恢复缺失项,
WE_TIP_RESTORE,"Adds back any built-in Basic Event, Cyclic Group, Cyclic Slot, or category
that's missing - your own customizations, added entries, and subscriptions are left untouched.","Fügt fehlende integrierte normale Events, zyklische Gruppen, zyklische Slots
oder Kategorien wieder hinzu - eigene Anpassungen, hinzugefügte Einträge und Abos bleiben unverändert.","Rajoute tout Événement normal, Groupe cyclique, Emplacement cyclique ou catégorie
intégré manquant - vos personnalisations, entrées ajoutées et abonnements restent inchangés.","Vuelve a añadir cualquier Evento normal, Grupo cíclico, Espacio cíclico o categoría
integrado que falte - tus personalizaciones, entradas añadidas y suscripciones no se modifican.",找回缺失的内置基础事件、循环事件组、循环时段或分类；你自己的自定义内容、新增条目和订阅设置均不受影响。,
WE_RESTORE_RESULT_ADDED_FMT,Added back %d missing entries.,%d fehlende Einträge wieder hinzugefügt.,%d entrées manquantes rajoutées.,Se añadieron %d entradas faltantes.,已找回 %d 项缺失内容。,
WE_RESTORE_RESULT_NONE,Nothing was missing.,Nichts hat gefehlt.,Rien ne manquait.,No faltaba nada.,没有缺失内容。,
#,subscriptions_window.cpp / subscriptions_notification.cpp - shared watchlist/toast tooltip.,,,,,
WE_TIP_WEEKLY_VAULT,Counts toward this week's Wizard's Vault objectives.,Zählt zu den Gewölbe des Zauberers-Zielen dieser Woche.,Compte pour les objectifs du Coffre du Sorcier de cette semaine.,Cuenta para los objetivos de la Bóveda del Mago de esta semana.,计入本周巫师宝库的任务进度。,
